# Every place the manuals contradict each other or the hardware, what we do about it,
# and the one experiment that would settle it. `aslmp ambiguities` prints this table.
#
# This is the file to hand a Mitsubishi application engineer. It is not a list of
# things we have not got round to; it is the list of decisions somebody had to make on
# incomplete evidence, with the evidence attached.
#
# readings   the mutually exclusive answers, '|' separated, at least two.
# chosen     what this library actually DOES. Sometimes that is neither reading but
#            "refuse", which is the right answer when guessing wrong would move a
#            machine.
# status     open | resolved_by_measurement | resolved_by_choice.
#
# A resolved_by_measurement row carries the CPU and firmware in the provenance tail.
# It is resolved for THAT silicon and that firmware, and for nothing else: everything
# we know about PLC pathology is n=1.
key	question	readings	chosen	reason	probe	status	provenance	cpu	firmware	measured	manual	revision	section	note
A-1402-BIT-SET-VALUE	In a bit-unit Write Random with the long device specification, is ON written as the bytes 01 00 or as the little-endian encoding of 0x0100?	01 00 -- value 1, consistent with the ASCII rendering '0001' and with pymcprotocol|00 01 -- if the manual's '0100H' is a 16-bit value to pack little-endian	01 00. Only reachable with subcommand 0003, which an iQ-F refuses, so nothing we can test emits it today.	The ASCII form is unambiguous and the binary form should encode the same value; reading 0100H as a literal byte pair is the only interpretation consistent with it.	iQ-R only: write a known bit with each byte order and read it back.	open	manual				SH(NA)-080956ENG	M	Write Random (1402), bit units	
A-1617-SUBCOMMAND	Is the subcommand for 1617 Clear Error 0000 or 0001?	0000 -- the FX5 detail section|0001 -- the FX5 command-list table on the same manual	0000, validated client-side; anything else raises.	The FX5 manual's command-list table and its own detail section disagree. 0000 matches every other non-device command in the catalogue.	Send 1617 with subcommand 0000 against a CPU with a clearable error and record the end code; repeat with 0001. Untested by us.	open	manual				JY997D56001	K	4.1 Command list (p.57-63) against the 1617 detail section	
A-4E-TAIL	Are the two bytes after the 4E serial number free for the client to use?	Fixed value -- SH(NA)-080956ENG-M calls them a fixed value|Free -- SH(NA)-080008-AB's naming suggested 16 spare bits of correlation	Send 00 00. Do not validate them on receive. Do not build anything on them.	A request carrying AA 55 there came back with those bytes ZEROED -- not echoed, and not rejected. So they are not extra correlation bits, and a design that used them for a client-side transaction tag would silently lose it.	Settled for FX5U.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-ASCII-CASE	Does a PLC configured for ASCII accept lower-case hexadecimal digits and lower-case device mnemonics?	Accepted -- nothing in the manuals says it is rejected|Rejected -- the manuals say to use capitalised codes	Emit upper case always; refuse lower case on parse rather than normalising it silently.	The manuals say 'use capitalized code' and never say what happens otherwise. Silently upper-casing a caller's input is the class of quiet fix-up this library refuses to do, and refusing costs nothing because we emit upper case.	Needs a connection entry configured for ASCII, which the bench does not have: Communication Data Code is one Own Node setting for the whole FX5 Ethernet port, so switching it breaks every binary connection at once. Then send a 0401 with a lower-case device code and lower-case hex and record the answer.	open	manual				SH(NA)-080956ENG	M	5.1 Message formats, ASCII code	
A-ASCII-EXT-LAYOUT	How do the ASCII fields of a device-memory-extension (subcommand 008x) request line up with the binary ones?	As the manual's ASCII diagram draws them|As the manual's worked ASCII example reads	Not implemented. The extension subcommand is out of scope for v1 in ASCII.	The manual's 20-character ASCII block does not obviously correspond to the 11-byte binary block, and the diagram and the worked example do not settle it between them. Binary is unambiguous and verified.	Capture a real ASCII extension request from GX Works3 or a third-party master, or get a byte-level example from MEAU.	open	manual				SH(NA)-080956ENG	M	Device memory extension specification, ASCII (p.207/210)	
A-BATCH-BIT-LIMIT	How many bit points fit in one binary 0401 Device Read (Batch) on an iQ-F?	7168 -- SH(NA)-080956ENG-M's generic/iQ-R figure|3584 -- JY997D56001-K's FX5 CPU module column|1792 -- the FX5 ASCII figure, sometimes quoted as if it were the binary one	3584 for every iQ-F profile in binary, 1792 in ASCII; 7168 for iQ-R.	Binary-searched on the CPU: 3584 points from M0 returned 0x0000 and 3585 returned 0xC051. The manual that is family-specific wins over the generic one, and here the hardware agrees with it. A library that ships SLMP-REF's 7168 builds frames this CPU rejects.	Already settled for FX5U. Repeat the binary search on an iQ-R to confirm 7168 there; it has never been tested.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-C05C-NOT-C05B	Which end code does an FX5 return for a device code it does not have or does not recognise?	0xC05B -- 'the module cannot read/write from/to the specified device', which is what the doc-derived mapping predicted|0xC05C -- 'error in request contents' -- observed	0xC05C. Its likely_cause leads with 'a device family this CPU does not have', and the client's own device table refuses V, ZR, DX and DY on iQ-F before the frame is built so a user should never see it for that reason.	Device code 0x00, device code 0xFF, V0, ZR0 and DX0 all returned 0xC05C on the bench. 0xC05C is nominally a request-content code, so without this correction the library would tell a user their subcommand was wrong when their CPU simply has no edge relays.	Settled for FX5U. An iQ-R may well return 0xC05B as documented; the row carries both.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-C061-NOT-C057	Which end code does a request-data-length mismatch produce, and what happens when the length is overstated?	0xC057 -- 'the request data length does not match the number of data in the character section', which the doc-derived mapping chose|0xC061 when understated, and NO RESPONSE AT ALL when overstated -- observed	0xC061. The asymmetry is ranked first in SlmpTimeoutError.likely_causes whenever a timeout arrives after PARTIAL bytes.	Declaring L two bytes short returned 0xC061 and the connection recovered; declaring L as 0x0000 returned 0xC061 echoing command 0x0000 subcommand 0x0000; declaring L two bytes long produced no response at all and a 3000 ms timeout, because the CPU blocks waiting for bytes that never arrive. A client whose length arithmetic is wrong in one direction fails loudly and in the other looks exactly like a dead PLC. That asymmetry is why L is produced by exactly one expression in this package and guarded by three tests.	Settled for FX5U.	resolved_by_measurement	live	FX5U-32MT/DS	1.065	2026-09-06				
A-CEE3	What does end code 0xCEE3 mean?	An iQSS code alongside CEE0, CEE1 and CEE2|Not a documented code at all	Not shipped as a row. It falls through to a generic SlmpEndCodeError with 'undocumented end code' and the report-it line.	0xCEE3 appears in none of SH(NA)-081257ENG-AD, SH(NA)-081105ENG-G or JY997D56001-K. It is in circulation in third-party code, which is not a source. A fabricated description in the error path is worse than an honest gap.	Find it in a Mitsubishi manual, or leave it out.	open	manual				SH(NA)-081257ENG	AD	3.5 List of Error Codes	
A-CLEAR-MODE	Which clear modes does 1001 Remote Run accept on an FX5?	Only 00H -- JY997D56001-K p.105 clear-mode table has exactly one row|00H, 01H and 02H -- the communication example on the SAME page sets clear mode to 'clear all devices including that in the latch range' and prints 02H	iQ-F profiles allow ClearMode.NONE only; anything else raises before the request is built.	The FX5 manual contradicts itself on one page, and the consequence of guessing wrong is clearing a running machine's latch range. Refusing is the only defensible default when the document disagrees with itself and we have no measurement.	1001 with clear mode 01H and then 02H against a scratch program on a CPU in STOP: record the end code, and check whether devices actually cleared.	open	manual				JY997D56001	K	6.1 Remote Run, clear mode (p.105)	
